loan_count,prepay_loan(%),default_loan(%),active_loan(%),cumulative_post‐default_event_repurchase(%),ever_D180(%),D180_and_pre‐D180_credit_event(%),actuall_loss($M),total_orig_UPB($B),prepaid_upb(%),defaulted_upb(%),current_upb(%),post-defaulted_upb(%),original_UPB_ever_D180(%),original_UPB_D180_and_pre_D180_credit_event(%),UPB_weighted_cumulative_modification(%)
50000.0,96.9,1.4,1.7,0.2,2.3,2.4,11.2,6.3,91.9,1.0,0.7,0.1,2.3,2.6,
50000.0,97.5,1.5,1.0,0.2,2.2,2.3,14.1,6.5,95.3,1.1,0.4,0.2,2.4,2.6,0.0
49999.0,96.2,1.6,2.1,0.2,2.4,2.5,21.4,7.4,93.5,1.1,0.9,0.2,2.3,2.5,0.0
49997.0,94.3,1.9,3.8,0.2,3.0,3.1,31.3,7.7,91.0,1.3,1.8,0.1,2.8,3.1,0.0
49997.0,89.2,2.4,8.4,0.1,3.9,4.0,50.0,8.0,81.5,1.8,4.6,0.1,4.0,4.6,0.0
49997.0,86.2,3.7,10.1,0.2,5.8,6.0,96.5,8.3,79.2,3.1,6.0,0.2,6.6,7.8,0.0
49999.0,83.0,5.4,11.6,0.2,7.7,8.2,203.9,8.5,72.8,5.3,6.6,0.2,10.0,12.6,0.0
49997.0,81.9,8.2,9.8,0.4,11.1,11.8,361.3,9.0,75.5,8.3,6.4,0.4,15.1,19.2,0.0
49996.0,79.7,8.9,11.4,0.8,12.6,13.4,374.6,9.2,74.9,9.0,7.7,0.8,17.2,21.5,0.0
49994.0,85.6,4.2,10.2,0.3,6.9,7.2,163.8,10.2,82.2,4.0,6.2,0.4,8.6,10.6,0.0
49999.0,80.1,0.6,19.3,0.0,1.1,1.2,17.1,10.7,76.0,0.5,11.2,0.0,1.1,1.4,0.0
49998.0,70.7,0.3,29.0,0.0,0.7,0.7,6.3,10.4,68.1,0.2,17.7,0.0,0.6,0.7,0.0
49997.0,62.2,0.1,37.7,0.0,0.4,0.4,2.8,10.9,61.5,0.1,24.3,,0.4,0.4,0.0
49997.0,36.5,0.0,63.5,0.0,0.2,0.2,1.0,11.1,34.2,0.0,48.9,0.0,0.2,0.2,0.0
50000.0,33.6,0.1,66.3,0.0,0.2,0.3,0.7,10.9,32.8,0.1,54.2,0.0,0.2,0.3,0.0
50000.0,36.5,0.0,63.4,0.0,0.3,0.3,0.6,11.0,39.9,0.0,52.2,,0.3,0.3,0.0
49999.0,18.1,0.0,81.8,0.0,0.1,0.1,0.0,11.5,19.6,0.0,74.1,,,,0.0
50000.0,6.6,0.0,93.4,0.0,0.0,0.0,-0.0,12.0,6.7,0.0,89.7,,,,0.0
12457.0,2.6,0.0,97.4,0.0,0.0,0.0,-0.0,2.9,3.1,0.0,95.0,,,,
